brand,usage,condition,type,category,price,trend,colors,cut,pattern,season,text,pilling,damage,stains,holes,smell,material
Soc (stadium),Reuse,5,Top,Ladies,<50,Sports,['Pink'],[],Unknown,Unknown,Unknown,5,None,No,None,None,95%cotton 5%elastan
Not Applicable,Export,1,T-shirt,Ladies,<50,No trend,"['Blue', 'White']",[],Floral print,Unknown,Unknown,2,None,Yes,None,None,33%cotton 67%polyester
Xlnt (kappahl),Reuse,4,Dress,Ladies,<50,No trend,['Black'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%viscose
Not Applicable,Reuse,4,Sweater,Ladies,<50,No trend,['Red'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%cotton
Not Applicable,Export,3,Top,Ladies,<50,Sports,['Black'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,100%polyester
Not Applicable,Export,3,Top,Ladies,<50,Sports,"['Black', 'Pink']",[],Animal print,Unknown,Unknown,5,None,Yes,None,None,100%polyester
Kappahl,Export,2,Shirt,Ladies,<50,No trend,"['Purple', 'Green', 'White']",[],Floral print,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Export,2,Shirt,Ladies,<50,No trend,"['Purple', 'White']",[],Striped,Unknown,Unknown,2,None,No,None,None,100%polyester
Not Applicable,Export,4,Sweater,Ladies,<50,No trend,['Purple'],[],Unknown,Unknown,Unknown,3,None,No,None,None,100%acryl
Not Applicable,Reuse,4,Dress,Ladies,<50,No trend,"['Purple', 'Red', 'Black', 'Yellow', 'Blue', 'Pink']",[],Floral print,Unknown,Unknown,4,None,No,None,None,100%viscose
Gina Tricot,Reuse,5,Dress,Ladies,50-100,No trend,['Purple'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%viscose
Not Applicable,Export,4,T-shirt,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,5,None,Yes,None,None,100%cotton
Not Applicable,Export,1,Shirt,Ladies,<50,No trend,['Purple'],[],Unknown,Unknown,Unknown,4,None,Yes,None,None,100%cotton
Not Applicable,Export,3,Shirt,Ladies,<50,No trend,['Blue'],[],Lace,Unknown,Unknown,3,None,No,None,None,100%nylon
Not Applicable,Reuse,4,Shirt,Ladies,50-100,No trend,['White'],[],Unknown,Unknown,Unknown,5,None,No,None,None,100%cotton
Lager 157,Reuse,4,Top,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,4,None,No,None,None,100%cotton
Not Applicable,Reuse,4,Top,Ladies,<50,No trend,['White'],[],Unknown,Unknown,Unknown,4,None,No,None,None,53%cotton 47%polyester
Kappahl,Export,4,Top,Ladies,<50,No trend,"['White', 'Black']",[],Dots,Unknown,Unknown,4,None,Yes,None,None,100%cotton 
Kappahl,Export,3,Shirt,Ladies,<50,No trend,['Blue'],[],Unknown,Unknown,Unknown,3,None,No,None,None,69%cotton 31%viscose
