recommendation_id,rule_id,clothing_type,colour,condition,damage_location,damage_severity,stain_severity,hole_severity,repair_status,style,material,recommended_action,upcycling_method,difficulty,reason,required_materials,estimated_time_minutes,recommendation_priority,rule_basis
REC000001,D01,Dress,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Cotton,Shorten the dress and refinish the hem,Length alteration,Easy,A damaged lower edge can be removed while retaining the upper garment.,"Scissors, measuring tape and sewing tools",60,1,Rule-based circular fashion/upcycling transformation
REC000002,D02,Dress,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Casual,Cotton,Redesign into a sleeveless dress,Sleeve removal,Medium,Removing damaged sleeves can preserve the dress body.,"Scissors, thread, needle or sewing machine",75,1,Rule-based circular fashion/upcycling transformation
REC000003,D03,Dress,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Cotton,Recover usable fabric for a skirt or accessories,Fabric recovery,Medium,Intact sections can be separated from damaged areas and reused.,"Scissors, measuring tape and sewing supplies",120,1,Rule-based circular fashion/upcycling transformation
REC000004,J01,Jeans,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Denim,Convert into denim shorts,Shortening,Easy,The lower portion can be removed while preserving usable denim.,"Scissors, measuring tape, sewing machine or needle and thread",45,1,Rule-based circular fashion/upcycling transformation
REC000005,J02,Jeans,Black,Worn,Knee,Minor,None,None,Needs Repair,Casual,Denim,Apply visible patches,Visible mending,Easy,Localized minor damage can be strengthened and redesigned with a patch.,"Denim patch, thread, needle or sewing machine",30,1,Rule-based circular fashion/upcycling transformation
REC000006,J03,Jeans,Black,Worn,Pocket,Minor,None,None,Needs Repair,Casual,Denim,Reuse usable denim sections for an accessory,Material reuse,Medium,Undamaged denim sections can be recovered for smaller products.,"Scissors, thread, needle or sewing machine",90,2,Rule-based circular fashion/upcycling transformation
REC000007,J04,Jeans,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Denim,Create denim patchwork,Patchwork,Medium,Multiple damaged areas make patchwork more practical than a full garment redesign.,"Scissors, denim scraps, thread and sewing machine",180,1,Rule-based circular fashion/upcycling transformation
REC000008,K01,Hoodie,Black,Worn,Sleeve,Minor,None,None,Needs Repair,Casual,Cotton,Convert into a sleeveless vest,Sleeve removal,Medium,Removing damaged sleeves can preserve the central body and create a vest.,"Scissors, thread and sewing tools",75,1,Rule-based circular fashion/upcycling transformation
REC000009,K02,Hoodie,Black,Worn,Front,Minor,None,None,Needs Repair,Casual,Cotton,Add a fabric patch or decorative panel,Patchwork,Easy,A patch can reinforce localized damage and extend garment life.,"Fabric patch, thread or fabric adhesive",35,1,Rule-based circular fashion/upcycling transformation
REC000010,K03,Hoodie,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Cotton,Recover intact fabric for accessories,Fabric recovery,Medium,Usable sections can be separated from heavily damaged areas.,"Scissors, thread and sewing supplies",100,1,Rule-based circular fashion/upcycling transformation
REC000011,L01,Leggings,Black,Worn,Bottom,Minor,None,None,Needs Repair,Casual,Polyester,Convert into shorter leggings,Length alteration,Easy,Damaged lower sections can be removed while retaining usable fabric.,"Scissors, measuring tape and sewing tools",30,1,Rule-based circular fashion/upcycling transformation
REC000012,L02,Leggings,Black,Damaged,Multiple Areas,Major,None,None,Needs Repair,Casual,Polyester,Recover fabric for small textile accessories,Material recovery,Medium,Intact sections may still be useful for smaller textile products.,Scissors and sewing supplies,75,1,Rule-based circular fashion/upcycling transformation
REC000013,N01,T-shirt,Black,Excellent,None,None,None,None,No Repair,Casual,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A usable knit top can be repurposed into a simple reusable bag.,"Scissors, thread and sewing supplies",60,2,Rule-based circular fashion/upcycling transformation
REC000014,N02,Shirt,Black,Excellent,None,None,None,None,No Repair,Casual,Cotton,Convert into a reusable fabric tote,Tote conversion,Easy,A button-up garment can be repurposed while retaining useful fabric.,"Scissors, thread and sewing supplies",75,2,Rule-based circular fashion/upcycling transformation
REC000015,N03,Jeans,Black,Excellent,None,None,None,None,No Repair,Casual,Denim,Create a small denim accessory from unused fabric sections,Denim reuse,Medium,Denim provides durable fabric suitable for smaller accessories.,"Scissors, denim fabric, thread and sewing tools",90,2,Rule-based circular fashion/upcycling transformation
